date,article_id,article_prefix,article_category,service_type,issue_text,issue_type
2026-03-23,ED326707823IN,ED,Speed Post (E),Speed Post,Out for delivery but not delivered,Delivery Delay
2026-03-23,CR355625066IN,CR,COD (C),COD Parcel,Parcel not delivered after booking,Delivery Delay
2026-03-21,JJ707272271IN,JJ,Bulk Speed Post (J),Speed Post,Shipment missent without update,Fake Delivery Attempt
2026-03-21,JI579215812IN,JI,Bulk Speed Post (J),Speed Post,Returned without delivery attempt,Fake Delivery Attempt
2026-03-21,JD372340599IN,JD,Bulk Speed Post (J),Speed Post,Marked delivered but ATM card not received,Missing Item
2026-03-21,EW386977465IN,EW,Speed Post (E),Speed Post,Parcel not delivered urgent request,Delivery Delay
2026-03-21,EW207314667IN,EW,Speed Post (E),Speed Post,Speed post delayed for 11 days,Delivery Delay
2026-03-21,EF660997752IN,EF,Speed Post (E),Speed Post,Speed post delayed beyond expected time,Delivery Delay
2026-03-21,EU877087858IN,EU,Speed Post (E),Speed Post,Door locked update without attempt,Fake Delivery Attempt
2026-03-20,EJ240609308IN,EJ,Speed Post (E),Speed Post,No update after booking,Tracking Issue
2026-03-20,CX017284482IN,CX,COD (C),COD Parcel,Unsuccessful delivery reason direct deposit unclear,Service Issue
2026-03-20,JJ707272271IN,JJ,Bulk Speed Post (J),Speed Post,Shipment missent without update,Fake Delivery Attempt
2026-03-20,PP380465560IN,PP,Parcel (P),Speed Post,Wrongly redirected parcel,Delivery Delay
2026-03-20,EZ866970515IN,EZ,Speed Post (E),Speed Post,Returned without delivery attempt and marked delivered falsely,Fake Delivery Attempt
2026-03-20,JM891617675IN,JM,Bulk Speed Post (J),Speed Post,Marked delivered but not actually received,Missing Item
2026-03-20,EU859237202IN,EU,Speed Post (E),Speed Post,Out for delivery but not delivered,Delivery Delay
2026-03-20,CI137475577IN,CI,COD (C),COD Parcel,Parcel stuck at New Delhi with no updates,Delivery Delay
2026-03-20,EK262875305IN,EK,Speed Post (E),Speed Post,No tracking updates available,Tracking Issue
2026-03-20,EW386977465IN,EW,Speed Post (E),Speed Post,Parcel not delivered before important deadline,Delivery Delay
2026-03-20,EW207314667IN,EW,Speed Post (E),Speed Post,Speed post delayed and stuck in Bengaluru,Delivery Delay
2026-03-21,JI579215812IN,JI,Bulk Speed Post (J),Speed Post,Returned without delivery attempt,Fake Delivery Attempt
2026-03-21,JD372340599IN,JD,Bulk Speed Post (J),Speed Post,Marked delivered but ATM card not received,Missing Item
2026-03-21,JJ707272271IN,JJ,Bulk Speed Post (J),Speed Post,Shipment missent without update,Fake Delivery Attempt
2026-03-21,EJ240609308IN,EJ,Speed Post (E),Speed Post,Booked on 13/03/26 but no update since 14/03/26,Tracking Issue
2026-03-21,JM338561785IN,JM,Bulk Speed Post (J),Speed Post,Undelivered and complaint closed with forged proof,Service Issue
2026-03-20,CX017284482IN,CX,COD (C),COD Parcel,"Unsuccessful delivery with reason ""Direct Deposit"" without contact",Fake Delivery Attempt
2026-03-20,JJ707272271IN,JJ,Bulk Speed Post (J),Speed Post,Missent status for 7 days without update,Tracking Issue
2026-03-20,PP380465560IN,PP,Parcel (P),Speed Post,Wrongly redirected parcel,Delivery Delay
2026-03-20,JM888639367IN,JM,Bulk Speed Post (J),Speed Post,Debit card parcel tampered,Damage/Loss
2026-03-20,EY066831967IN,EY,Speed Post (E),Speed Post,Speed post stuck in transit since booking,Delivery Delay
2026-03-20,EF660997752IN,EF,Speed Post (E),Speed Post,Booked on 13 March not delivered after 6 days,Delivery Delay
2026-03-20,EU877087858IN,EU,Speed Post (E),Speed Post,"False ""Door Locked"" delivery attempt",Fake Delivery Attempt
2026-03-20,EZ866970515IN,EZ,Speed Post (E),Speed Post,Returned without delivery attempt,Fake Delivery Attempt
2026-03-20,JM891617675IN,JM,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-20,EU859237202IN,EU,Speed Post (E),Speed Post,Out for delivery but not delivered,Delivery Delay
2026-03-20,CI137475577IN,CI,COD (C),COD Parcel,Parcel stuck at New Delhi since 12th March,Delivery Delay
2026-03-20,EK262875305IN,EK,Speed Post (E),Speed Post,No tracking updates available,Tracking Issue
2026-03-19,EU255186883IN,EU,Speed Post (E),Speed Post,Parcel not delivered and delayed,Delivery Delay
2026-03-19,JL066500894IN,JL,Bulk Speed Post (J),Speed Post,Wrongly marked insufficient address and returned,Service Issue
2026-03-19,EF694910392IN,EF,Speed Post (E),Speed Post,Tracking not updating for important documents,Tracking Issue
2026-03-19,EW283935463IN,EW,Speed Post (E),Speed Post,Parcel not delivered for over 3 weeks,Delivery Delay
2026-03-19,EF655198026IN,EF,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-19,EF655191601IN,EF,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-19,EG622636206IN,EG,Speed Post (E),Speed Post,Parcel tampered and item missing,Damage/Loss
2026-03-19,IT105805665IN,IT,Other (I),Speed Post,Marked missent without delivery attempt,Fake Delivery Attempt
2026-03-19,ES975657413IN,ES,Speed Post (E),Speed Post,Delivered physically but not updated in system,Tracking Issue
2026-03-18,LP150703340IN,LP,International (L),International Article,Parcel stuck at customs DIMC Delhi,Tracking Issue
2026-03-18,CD390029269IN,CD,COD (C),COD Parcel,Parcel delivered in tampered condition with missing items,Damage/Loss
2026-03-18,EI168161848IN,EI,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-18,EW377968828IN,EW,Speed Post (E),Speed Post,Parcel stuck at Dibrugarh TMO beyond delivery time,Delivery Delay
2026-03-18,JN432350896IN,JN,Bulk Speed Post (J),Speed Post,Tracking stuck at item invoiced and not delivered,Tracking Issue
2026-03-18,UC524478054IN,UC,Registered Parcel (U),Speed Post,Marked delivered but not received,Missing Item
2026-03-18,HC055617305IN,HC,Other (H),Speed Post,Marked delivered without actual delivery attempt,Missing Item
2026-03-18,EY064594735IN,EY,Speed Post (E),Speed Post,Delayed delivery beyond expected timeline,Delivery Delay
2026-03-18,JG953969595IN,JG,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-18,CT257661015IN,CT,COD (C),COD Parcel,Missent delivery attempt without contact,Fake Delivery Attempt
2026-03-18,EE802866418IN,EE,Speed Post (E),Speed Post,Marked delivered but still lying at delivery center,Service Issue
2026-03-18,EG613490715IN,EG,Speed Post (E),Speed Post,Tracking exists but sender details unclear,Tracking Issue
2026-03-18,EG530802052IN,EG,Speed Post (E),Speed Post,Marked door locked without delivery attempt,Fake Delivery Attempt
2026-03-18,UC519834169IN,UC,Registered Parcel (U),Speed Post,Marked delivered but postman confirmed not delivered,Missing Item
2026-03-18,UC515891130IN,UC,Registered Parcel (U),Speed Post,Marked delivered Aadhaar card not received,Missing Item
2026-03-17,PT085413760IN,PT,Parcel (P),Speed Post,PAN card marked delivered but not received,Missing Item
2026-03-17,EG586297304IN,EG,Speed Post (E),Speed Post,Parcel stuck with no updates since February,Tracking Issue
2026-03-17,LP150703340IN,LP,International (L),International Article,Parcel stuck at customs awaiting clearance,Tracking Issue
2026-03-17,JN331896736IN,JN,Bulk Speed Post (J),Speed Post,Wrong PIN causing misrouting,Service Issue
2026-03-17,EU861475483IN,EU,Speed Post (E),Speed Post,Parcel stuck at sorting office and delayed,Delivery Delay
2026-03-17,JB153369166IN,JB,Bulk Speed Post (J),Speed Post,Returned due to insufficient address despite reaching destination,Service Issue
2026-03-17,CY191469465IN,CY,COD (C),COD Parcel,Marked delivered but not received,Missing Item
2026-03-17,EF763353140IN,EF,Speed Post (E),Speed Post,Out for delivery but not received after multiple days,Delivery Delay
2026-03-17,CX016532355IN,CX,COD (C),COD Parcel,Marked delivered but not received,Missing Item
2026-03-17,CU619273104IN,CU,COD (C),COD Parcel,Parcel stuck at delivery hub for many days,Delivery Delay
2026-03-17,CX016370437IN,CX,COD (C),COD Parcel,Delayed delivery more than 15 days,Delivery Delay
2026-03-17,KB110277860IN,KB,Other (K),Speed Post,Complaint closed without resolution and item still in transit,Service Issue
2026-03-17,ST230569122IN,ST,Other (S),Speed Post,Marked delivered but not received,Missing Item
2026-03-17,IT105805665IN,IT,Other (I),Speed Post,Missent delivery attempt reported,Fake Delivery Attempt
2026-03-17,UC501388316IN,UC,Registered Parcel (U),Speed Post,Tracking available but delivery not completed,Tracking Issue
2026-03-17,EW388728704IN,EW,Speed Post (E),Speed Post,Out for delivery but no attempt made,Fake Delivery Attempt
2026-03-17,PT085413760IN,PT,Parcel (P),Speed Post,PAN card marked delivered but not received,Missing Item
2026-03-17,EG586297304IN,EG,Speed Post (E),Speed Post,Parcel stuck for long time without updates,Tracking Issue
2026-03-17,JN331896736IN,JN,Bulk Speed Post (J),Speed Post,Wrong PIN leading to misrouting,Service Issue
2026-03-17,EG530802052IN,EG,Speed Post (E),Speed Post,Marked door locked without attempt,Fake Delivery Attempt
2026-03-17,UC519834169IN,UC,Registered Parcel (U),Speed Post,Marked delivered but postman denied delivery,Missing Item
2026-03-17,UC515891130IN,UC,Registered Parcel (U),Speed Post,Aadhaar marked delivered but not received,Missing Item
2026-03-16,CW243912226IN,CW,COD (C),COD Parcel,Door delivery refused and asked to collect from post office,Service Issue
2026-03-16,CA728403220IN,CA,COD (C),COD Parcel,Parcel not delivered since January and stuck at PO,Delivery Delay
2026-03-16,CA728402975IN,CA,COD (C),COD Parcel,Parcel not delivered since January and stuck at PO,Delivery Delay
2026-03-16,EY063990261IN,EY,Speed Post (E),Speed Post,Marked delivered but not received after multiple days,Missing Item
2026-03-16,JN431219145IN,JN,Bulk Speed Post (J),Speed Post,Marked delivered but PAN card not received,Missing Item
2026-03-16,EJ921998175IN,EJ,Speed Post (E),Speed Post,Speed post delayed beyond deadline and not delivered,Delivery Delay
2026-03-16,EU825562940IN,EU,Speed Post (E),Speed Post,Missent delivery attempt without actual attempt,Fake Delivery Attempt
2026-03-16,EH215804557IN,EH,Speed Post (E),Speed Post,Parcel stuck at Delhi TMO for several days,Tracking Issue
2026-03-16,CX016364405IN,CX,COD (C),COD Parcel,Parcel pending at Lucknow hub and not forwarded,Delivery Delay
2026-03-16,CO108492785IN,CO,COD (C),COD Parcel,Out for delivery but not yet delivered,Delivery Delay
2026-03-16,EF647724595IN,EF,Speed Post (E),Speed Post,Parcel stuck at booking office without movement,Tracking Issue
2026-03-16,JH023565164IN,JH,Bulk Speed Post (J),Speed Post,Shipment not dispatched from origin and staff unresponsive,Service Issue
2026-03-16,CR180606810IN,CR,COD (C),COD Parcel,Delivery not attempted despite being out for delivery,Fake Delivery Attempt
2026-03-16,EY063415494IN,EY,Speed Post (E),Speed Post,Returned to sender without delivery attempt,Fake Delivery Attempt
2026-03-16,UI709472854IN,UI,Registered Parcel (U),Speed Post,Aadhaar card dispatched but not delivered yet,Delivery Delay
2026-03-16,JA054817733IN,JA,Bulk Speed Post (J),Speed Post,Marked delivered but not received by customer,Missing Item
2026-03-16,CM237220075IN,CM,COD (C),COD Parcel,Parcel stuck since early March without movement,Tracking Issue
2026-03-16,LP150703340IN,LP,International (L),International Article,Parcel stuck at customs and not cleared,Tracking Issue
2026-03-16,EV854756979IN,EV,Speed Post (E),Speed Post,Unexpected tracking generated without booking,Service Issue
2026-03-16,UC512765733IN,UC,Registered Parcel (U),Speed Post,Aadhaar PVC dispatched but delivery pending,Delivery Delay
2026-03-14,ET269607895IN,ET,Speed Post (E),Speed Post,Repeated false delivery attempt messages without actual attempt,Fake Delivery Attempt
2026-03-14,ET282461395IN,ET,Speed Post (E),Speed Post,Parcel stuck at LGBI TMO without updates,Tracking Issue
2026-03-14,CU240677807IN,CU,COD (C),COD Parcel,Parcel missing since February without resolution,Missing Item
2026-03-13,CA728403220IN,CA,COD (C),COD Parcel,Parcel not delivered and stuck at post office since January,Delivery Delay
2026-03-13,CA728402975IN,CA,COD (C),COD Parcel,Parcel not delivered and stuck at post office since January,Delivery Delay
2026-03-13,EZ720990657IN,EZ,Speed Post (E),Speed Post,Missent delivery attempt without proper delivery,Fake Delivery Attempt
2026-03-14,EO809155942IN,EO,Speed Post (E),Speed Post,Marked delivered but item not received,Missing Item
2026-03-14,PP491241132IN,PP,Parcel (P),Speed Post,Marked delivered but passport not received,Missing Item
2026-03-14,CD889115905IN,CD,COD (C),COD Parcel,Marked delivered at GPO but not received at address,Missing Item
2026-03-14,EZ720723713IN,EZ,Speed Post (E),Speed Post,Parcel delayed and not delivered on time,Delivery Delay
2026-03-14,JJ739162224IN,JJ,Bulk Speed Post (J),Speed Post,Delivery attempt failed with false door locked reason,Fake Delivery Attempt
2026-03-14,JL158694887IN,JL,Bulk Speed Post (J),Speed Post,Tracking generated without booking request,Service Issue
2026-03-14,EF737690736IN,EF,Speed Post (E),Speed Post,Missent delivery attempt reported,Fake Delivery Attempt
2026-03-13,EJ914274675IN,EJ,Speed Post (E),Speed Post,Parcel stuck at invoiced stage for multiple days,Tracking Issue
2026-03-13,EH226375037IN,EH,Speed Post (E),Speed Post,Marked delivered but not physically received,Missing Item
2026-03-13,EH226374924IN,EH,Speed Post (E),Speed Post,Marked delivered but not physically received,Missing Item
2026-03-13,JN421389595IN,JN,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-13,EY064888986IN,EY,Speed Post (E),Speed Post,Pickup scheduled but not completed,Service Issue
2026-03-13,EE802866418IN,EE,Speed Post (E),Speed Post,Delivered to wrong person not intended recipient,Service Issue
2026-03-13,EM420316711IN,EM,Speed Post (E),Speed Post,Parcel stuck in Mumbai without movement,Tracking Issue
2026-03-13,EU553574662IN,EU,Speed Post (E),Speed Post,Parcel stuck at RMS office for long duration,Tracking Issue
2026-03-13,CX014087072IN,CX,COD (C),COD Parcel,Parcel repeatedly missent and not delivered,Tracking Issue
2026-03-13,MS692039531IN,MS,Other (M),Speed Post,Marked delivered without actual delivery,Missing Item
2026-03-13,EH242211765IN,EH,Speed Post (E),Speed Post,No tracking details available after booking,Tracking Issue
2026-03-13,EW437710375IN,EW,Speed Post (E),Speed Post,Invalid tracking message received without request,Service Issue
2026-03-11,JL271803187IN,JL,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-11,ET205019154IN,ET,Speed Post (E),Speed Post,Parcel stuck at Chunar SO since 2 March and not delivered,Delivery Delay
2026-03-11,AQ010057999IN,AQ,Air Mail (A),Ack. Regd. Article,Debit card delayed and stuck at TMO,Delivery Delay
2026-03-11,JI912275452IN,JI,Bulk Speed Post (J),Speed Post,False door locked delivery attempt without visit,Fake Delivery Attempt
2026-03-11,CU536452553IN,CU,COD (C),COD Parcel,Marked delivered but not actually received,Missing Item
2026-03-11,JG438573826IN,JG,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-11,EO775334562IN,EO,Speed Post (E),Speed Post,Wrong mobile number entered preventing access to POD,Service Issue
2026-03-11,LJ040465886CN,LJ,International (L),International Article,Unable to track international article,Tracking Issue
2026-03-11,EM420316711IN,EM,Speed Post (E),Speed Post,Parcel stuck in Mumbai since February,Tracking Issue
2026-03-11,EU553574662IN,EU,Speed Post (E),Speed Post,Parcel stuck at RMS office for long duration,Tracking Issue
2026-03-11,CX014087072IN,CX,COD (C),COD Parcel,Parcel repeatedly missent and not delivered,Tracking Issue
2026-03-11,MS692039531IN,MS,Other (M),Speed Post,Marked delivered without actual delivery,Missing Item
2026-03-11,EH242211765IN,EH,Speed Post (E),Speed Post,No tracking details available after booking,Tracking Issue
2026-03-11,EW437710375IN,EW,Speed Post (E),Speed Post,Invalid tracking message received,Service Issue
2026-03-11,EN841376478IN,EN,Speed Post (E),Speed Post,Parcel not delivered after booking delay,Delivery Delay
2026-03-10,EF586724135IN,EF,Speed Post (E),Speed Post,Speed post not delivered after booking,Delivery Delay
2026-03-10,JD349080577IN,JD,Bulk Speed Post (J),Speed Post,False addressee absent delivery attempt without contact,Fake Delivery Attempt
2026-03-10,TA797873759IN,TA,Other (T),Speed Post,Parcel not delivered despite nearby destination,Delivery Delay
2026-03-10,EU891835429IN,EU,Speed Post (E),Speed Post,Parcel booked but unclear delivery status,Tracking Issue
2026-03-10,EK860298243IN,EK,Speed Post (E),Speed Post,Out for delivery but not delivered,Delivery Delay
2026-03-10,CV139980350IN,CV,COD (C),COD Parcel,False unsuccessful delivery attempt reported,Fake Delivery Attempt
2026-03-10,RU803945196IN,RU,Registered (R),Registered Letter,Marked delivered but not received,Missing Item
2026-03-10,UC505609548IN,UC,Registered Parcel (U),Speed Post,Aadhaar PVC marked delivered but not received,Missing Item
2026-03-10,CL485312047IN,CL,COD (C),COD Parcel,Marked delivered but not received,Missing Item
2026-03-10,AW792648190IN,AW,Air Mail (A),Ack. Regd. Article,Parcel returned without delivery attempt,Service Issue
2026-03-10,EF286161820IN,EF,Speed Post (E),Speed Post,Request to stop delivery after booking,Service Issue
2026-03-10,CW196767050IN,CW,COD (C),COD Parcel,Parcel stuck at TMO without updates,Tracking Issue
2026-03-10,EV854756979IN,EV,Speed Post (E),Speed Post,Unexpected tracking generated,Service Issue
2026-03-10,CT274217861IN,CT,COD (C),COD Parcel,False direct deposit delivery attempt,Fake Delivery Attempt
2026-03-09,PP115530237IN,PP,Parcel (P),Speed Post,Marked delivered but not received,Missing Item
2026-03-09,ST132905221IN,ST,Other (S),Speed Post,Out for delivery but unsuccessful intimation delivery,Service Issue
2026-03-09,CW196767050IN,CW,COD (C),COD Parcel,Parcel stuck and not delivered,Tracking Issue
2026-03-09,EV528106552LN,EV,Speed Post (E),Speed Post,Marked delivered but item not received,Missing Item
2026-03-09,UC521959114IN,UC,Registered Parcel (U),Speed Post,False delivered status without delivery attempt,Fake Delivery Attempt
2026-03-09,CT274217861IN,CT,COD (C),COD Parcel,Unsuccessful delivery with direct deposit reason,Fake Delivery Attempt
2026-03-09,CW197372787IN,CW,COD (C),COD Parcel,Parcel missing after booking,Missing Item
2026-03-07,JA965593470IN,JA,Bulk Speed Post (J),Speed Post,Marked delivered but not received with alleged forged signature,Missing Item
2026-03-07,JM334943205IN,JM,Bulk Speed Post (J),Speed Post,Out for delivery and customer requested urgent delivery,Delivery Delay
2026-03-07,LP128865490AU,LP,International (L),International Article,International article stuck at FPO Delhi with no movement,Tracking Issue
2026-03-07,CY191674427IN,CY,COD (C),COD Parcel,Business parcel booked with no complaint details,Service Issue
2026-03-07,CU619273104IN,CU,COD (C),COD Parcel,Parcel stuck at Ghaziabad PH with no movement,Delivery Delay
2026-03-06,JC337517785IN,JC,Bulk Speed Post (J),Speed Post,Marked delivered but delivery process questionable,Missing Item
2026-03-06,ED862747537IN,ED,Speed Post (E),Speed Post,Out for delivery but no attempt made,Fake Delivery Attempt
2026-03-06,CH122298867IN,CH,COD (C),COD Parcel,Parcel not received for about one month,Delivery Delay
2026-03-06,CY183182814IN,CY,COD (C),COD Parcel,Marked delivered but not received,Missing Item
2026-03-07,JD090043554IN,JD,Bulk Speed Post (J),Speed Post,False door locked delivery attempt,Fake Delivery Attempt
2026-03-07,JD090043599IN,JD,Bulk Speed Post (J),Speed Post,False door locked delivery attempt,Fake Delivery Attempt
2026-03-08,JD365198699IN,JD,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-08,RU803945196IN,RU,Registered (R),Registered Letter,Delayed delivery within same city,Delivery Delay
2026-03-07,ED141677479IN,ED,Speed Post (E),Speed Post,Speed post delayed more than 10 days,Delivery Delay
2026-03-07,EU700477372IN,EU,Speed Post (E),Speed Post,Article kept in deposit and not delivered,Delivery Delay
2026-03-07,EE802866381IN,EE,Speed Post (E),Speed Post,Parcel kept on deposit and not delivered,Delivery Delay
2026-03-07,ED273927856IN,ED,Speed Post (E),Speed Post,Article received at SO but not delivered,Delivery Delay
2026-03-06,LP952803679IN,LP,International (L),International Article,International article not delivered after long delay,Delivery Delay
2026-03-06,CM295907867IN,CM,COD (C),COD Parcel,Marked delivered but no call or delivery received,Missing Item
2026-03-06,JN416491060IN,JN,Bulk Speed Post (J),Speed Post,Missent delivery attempt despite customer being home,Fake Delivery Attempt
2026-03-06,EY053379497I,EY,Speed Post (E),Speed Post,Parcel not traceable and complaint unanswered,Tracking Issue
2026-03-06,CA174539210IN,CA,COD (C),COD Parcel,Tracking frozen after booking,Tracking Issue
2026-03-06,AQ010057999IN,AQ,Air Mail (A),Ack. Regd. Article,ATM card stuck for days,Delivery Delay
2026-03-06,AQ010057999IN,AQ,Air Mail (A),Ack. Regd. Article,ATM card stuck for days with no movement,Delivery Delay
2026-03-05,JM334943205IN,JM,Bulk Speed Post (J),Speed Post,Out for delivery but not delivered,Fake Delivery Attempt
2026-03-05,EU863807223IN,EU,Speed Post (E),Speed Post,Parcel delivered after delay,Other
2026-03-05,EY061512723IN,EY,Speed Post (E),Speed Post,Speed post delayed more than expected,Delivery Delay
2026-03-05,CA728403220IN,CA,COD (C),COD Parcel,Parcel not delivered and stuck at PO since January,Delivery Delay
2026-03-05,CA728402975IN,CA,COD (C),COD Parcel,Parcel not delivered and stuck at PO since January,Delivery Delay
2026-03-05,JA965593470IN,JA,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-05,CX014584219IN,CX,COD (C),COD Parcel,Parcel delayed for many days,Delivery Delay
2026-03-05,CX014482183IN,CX,COD (C),COD Parcel,Parcel not delivered after almost 10 days,Delivery Delay
2026-03-05,EV894385180IN,EV,Speed Post (E),Speed Post,Parcel with medicines not delivered,Delivery Delay
2026-03-05,CG222951034IN,CG,COD (C),COD Parcel,No tracking update after 2 March,Tracking Issue
2026-03-05,EO684672821IN,EO,Speed Post (E),Speed Post,Unsuccessful delivery with addressee instructions reason,Fake Delivery Attempt
2026-03-05,AW792853457IN,AW,Air Mail (A),Ack. Regd. Article,Unsuccessful delivery with addressee absent reason,Fake Delivery Attempt
2026-03-05,ED765706975IN,ED,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-05,ED765706984IN,ED,Speed Post (E),Speed Post,Marked delivered but not received,Missing Item
2026-03-05,JN416491060IN,JN,Bulk Speed Post (J),Speed Post,Missent delivery attempt,Fake Delivery Attempt
2026-03-05,JN416729597IN,JN,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-03-04,CR396588456IN,CR,COD (C),COD Parcel,Marked delivered but issue reported by customer,Service Issue
2026-03-04,CA057740477IN,CA,COD (C),COD Parcel,International parcel has no recent tracking update,Tracking Issue
2026-03-04,LP153018448IN,LP,International (L),International Article,International parcel tracking not updated after reaching Italy,Tracking Issue
2026-03-04,LP153018451IN,LP,International (L),International Article,International parcel tracking not updated after reaching Italy,Tracking Issue
2026-03-04,LP153018434IN,LP,International (L),International Article,International parcel tracking not updated after reaching Italy,Tracking Issue
2026-03-04,LP154615138IN,LP,International (L),International Article,International parcel tracking not updated after reaching Italy,Tracking Issue
2026-03-04,EE802865275IN,EE,Speed Post (E),Speed Post,Parcel stuck with no update,Tracking Issue
2026-03-04,EE802865960IN,EE,Speed Post (E),Speed Post,Parcel stuck with no update,Tracking Issue
2026-03-04,MS670015895IN,MS,Other (M),Speed Post,Missent delivery attempt,Fake Delivery Attempt
2026-03-04,EN502155865JP,EN,Speed Post (E),Speed Post,Customs payment not updated and receipt unstamped,Service Issue
2026-03-04,CM510528665IN,CM,COD (C),COD Parcel,Parcel reached post office but not delivered,Delivery Delay
2026-03-03,EI539495765IN,EI,Speed Post (E),Speed Post,International parcel stuck at TMO,Tracking Issue
2026-03-03,PT164370046IN,PT,Parcel (P),Speed Post,False door locked delivery attempt,Fake Delivery Attempt
2026-03-03,EE802865275IN,EE,Speed Post (E),Speed Post,Shipment stuck since Feb 26 with no update,Tracking Issue
2026-03-03,EE802865960IN,EE,Speed Post (E),Speed Post,Business parcel stuck since Feb 26,Tracking Issue
2026-03-03,LP153018451IN,LP,International (L),International Article,International parcel not exported or no movement,Delivery Delay
2026-03-03,LP153018448IN,LP,International (L),International Article,International parcel not exported or no movement,Delivery Delay
2026-03-03,LP153018434IN,LP,International (L),International Article,International parcel not exported or no movement,Delivery Delay
2026-03-03,LP154615138IN,LP,International (L),International Article,International parcel not exported or no movement,Delivery Delay
2026-03-03,CY183869608IN,CY,COD (C),COD Parcel,Postman asked customer to collect instead of doorstep delivery,Service Issue
2026-03-03,PP115468530IN,PP,Parcel (P),Speed Post,Out for delivery for passport and customer fears false door locked update,Delivery Delay
2026-03-03,QD408463637IN,QD,Other (Q),Speed Post,Unable to track article after booking message,Tracking Issue
2026-03-02,EF666039241IN,EF,Speed Post (E),Speed Post,Out for delivery but not received,Delivery Delay
2026-03-02,PP115468530IN,PP,Parcel (P),Speed Post,False door locked delivery attempt for passport,Fake Delivery Attempt
2026-03-02,EN744390255IN,EN,Speed Post (E),Speed Post,Parcel stuck in Vijayawada with no movement,Tracking Issue
2026-03-02,JN414702058IN,JN,Bulk Speed Post (J),Speed Post,Parcel not delivered and current location unclear,Tracking Issue
2026-03-02,PP115468530IN,PP,Parcel (P),Speed Post,Out for delivery but customer concerned about false door locked update,Delivery Delay
2026-03-01,CU536335614IN,CU,COD (C),COD Parcel,Repeated pincode/address issue and parcel not delivered to address,Service Issue
2026-03-01,UC521305355IN,UC,Registered Parcel (U),Speed Post,Marked delivered but not received,Missing Item
2026-03-01,JL271828626IN,JL,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-02-28,CM154615393IN,CM,COD (C),COD Parcel,Wrong tracking/delivery message received for parcel not belonging to customer,Service Issue
2026-02-28,EF762810413IN,EF,Speed Post (E),Speed Post,Parcel not delivered after 11 days,Delivery Delay
2026-02-28,EF529470707IN,EF,Speed Post (E),Speed Post,Counter clerk refused cash and behaved rudely for speed post booking,Service Issue
2026-02-28,JG967654707IN,JG,Bulk Speed Post (J),Speed Post,Marked delivered but not received,Missing Item
2026-02-28,CP307896452IN,CP,COD (C),COD Parcel,Parcel not delivered and complaints closed without resolution,Delivery Delay
2026-02-27,EN502155865JP,EN,Speed Post (E),Speed Post,Customs duty paid but receipt not stamped and online status incorrect,Service Issue
2026-02-27,ED141681527IN,ED,Speed Post (E),Speed Post,Fragile parcel delivered damaged with broken item,Damage/Loss
2026-02-27,EU870406058IN,EU,Speed Post (E),Speed Post,Unknown letter delivery message received,Service Issue
2026-02-27,EU728776487IN,EU,Speed Post (E),Speed Post,Out for delivery / delivery status unclear,Tracking Issue
2026-02-27,PT139198770IN,PT,Parcel (P),Speed Post,Pan card stuck at TMO and complaint closed incorrectly,Tracking Issue
2026-02-27,CX014311215IN,CX,COD (C),COD Parcel,Marked delivered but recipient did not receive it,Missing Item
2026-02-27,EH255036835IN,EH,Speed Post (E),Speed Post,Original documents submitted via India Post for insurance reimbursement,Service Issue
2026-02-27,UC520809056IN,UC,Registered Parcel (U),Speed Post,Missent delivery attempt despite customer available at address,Fake Delivery Attempt
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
